id,iso_code,name,long,lat,region_id
193,STP,São Tomé and Principe,6.60710001,0.206180006,5102
194,SAU,Saudi Arabia,46.6977005,24.67480087,5305
195,SEN,Senegal,-17.47340012,14.72469997,5105
196,SYC,Seychelles,55.44660187,-4.630899906,5101
197,SLE,Sierra Leone,-13.21339989,8.482099533,5105
198,SVN,Slovenia,14.50440025,46.05459976,5403
199,SVK,Slovak Republic,17.1072998,48.14839935,5401
200,SGP,Singapore,103.8499985,1.289409995,5304
201,SOM,Somalia,45.32540131,2.075150013,5101
202,ZAF,South Africa,28.18709946,-25.74600029,5104
203,ESP,Spain,-3.703269958,40.41669846,5403
205,ESH,Western Sahara,NULL,NULL,5103
206,SDN,Sudan,32.53630066,15.59319973,5103
207,SUR,Suriname,-55.16790009,5.823200226,5207
208,TJK,Tajikistan,68.78639984,38.58779907,5301
209,SWZ,Swaziland,31.46590042,-26.52249908,5104
210,SWE,Sweden,18.06450081,59.33269882,5402
211,CHE,Switzerland,7.448209763,46.94800186,5404
212,SYR,Syrian Arab Republic,36.31190109,33.51459885,5305
213,TKM,Turkmenistan,58.37939835,37.95090103,5301
215,TZA,Tanzania,35.73820114,-6.174860001,5101
216,THA,Thailand,100.5210037,13.73079967,5304
217,TGO,Togo,1.225499988,6.122799873,5105
218,TKL,Tokelau,NULL,NULL,5504
219,TON,Tonga,-175.2160034,-21.13599968,5504
220,TTO,Trinidad and Tobago,-61.47890091,10.65960026,5206
221,OMN,Oman,58.58739853,23.61050034,5305
222,TUN,Tunisia,10.21000004,36.78990173,5103
223,TUR,Turkey,32.36059952,39.71530151,5305
224,TCA,Turks and Caicos Islands,-71.14138794,21.46027756,5206
225,ARE,United Arab Emirates,54.37049866,24.47640038,5305
226,UGA,Uganda,32.57289886,0.314269006,5101
227,TUV,Tuvalu,179.0895691,-8.631487846,5504
228,SUN,USSR,NULL,NULL,5401
229,GBR,United Kingdom,-0.126236007,51.50019836,5402
230,UKR,Ukraine,30.50379944,50.45360184,5401
231,USA,United States,-77.03199768,38.88949966,5203
233,BFA,Burkina Faso,-1.533949971,12.36050034,5105
234,URY,Uruguay,-56.06750107,-34.89410019,5207
235,UZB,Uzbekistan,69.26899719,41.30519867,5301
236,VEN,"Venezuela, RB",-69.83709717,9.08164978,5207
237,VNM,Vietnam,105.8249969,21.00690079,5304
238,ETH,Ethiopia,38.74679947,9.022740364,5101
239,VGB,British Virgin Islands,NULL,NULL,5206
240,VIR,Virgin Islands (U.S.),-64.89630127,18.33580017,5206
242,WAK,Wake Island,NULL,NULL,5504
243,WLF,Wallis and Futuna Islands,NULL,NULL,5504
244,WSM,Samoa,-171.7519989,-13.83139992,5504
248,YUG,Yugoslav SFR,NULL,NULL,5403
249,YEM,"Yemen, Rep.",44.20750046,15.35200024,5305
250,ZAR,"Congo, Dem. Rep.",NULL,NULL,5102
251,ZMB,Zambia,28.29369926,-15.39820004,5101
255,BEL,Belgium,4.367609978,50.83710098,5404
256,LUX,Luxembourg,6.129600048,49.61000061,5404
258,AIA,Anguilla,NULL,NULL,5206
259,CHI,Channel Islands,0,0,5402
260,SJM,Svalbard and Jan Mayen Islands,NULL,NULL,5402
264,IMY,Isle of Man,NULL,NULL,5402
270,MYT,Mayotte,NULL,NULL,5101
272,SRB,Serbia,20.46559906,44.80239868,5403
273,MNE,Montenegro,19.2595005,42.46020126,5403
276,SDN,Sudan,32.53630066,15.59319973,5103
277,SSD,South Sudan,31.60000038,4.849999905,5103
299,PSE,"Palestinian Territory, Occupied",0,0,5305
351,CHN,China,116.2860031,40.04949951,5302
357,CHN,China,116.2860031,40.04949951,5302
